n u uR uL e
482.0 496.945905579 133.0 -133.0 -128.0
483.0 439.807682945 113.0 -113.0 -63.0
484.0 225.314133065 57.0 -57.0 53.0
485.0 -70.4506159688 -24.0 24.0 120.0
486.0 -341.356423942 -92.0 92.0 169.0
487.0 -489.225681939 -131.0 131.0 141.0
488.0 -459.622656375 -120.0 120.0 76.0
489.0 -262.319915364 -67.0 67.0 -39.0
490.0 31.3952597647 14.0 -14.0 -128.0
491.0 314.090179823 88.0 -88.0 -172.0
492.0 481.355317778 130.0 -130.0 -144.0
493.0 470.546709265 122.0 -122.0 -81.0
494.0 284.668459263 73.0 -73.0 8.0
495.0 -7.85365865591 -3.0 3.0 96.0
496.0 -297.944269636 -78.0 78.0 167.0
497.0 -476.394375372 -128.0 128.0 121.0
498.0 -475.138434501 -119.0 119.0 96.0
499.0 -293.638407966 -77.0 77.0 -17.0
500.0 4.91096680932e-13 3.0 -3.0 -128.0
501.0 294.146728302 84.0 -84.0 -172.0
502.0 475.915078099 129.0 -129.0 -147.0
503.0 474.64693475 124.0 -124.0 -113.0
504.0 289.811280723 80.0 -80.0 8.0
505.0 -7.8536586559 -3.0 3.0 101.0
506.0 -302.966432132 -80.0 80.0 141.0
507.0 -480.059100426 -124.0 124.0 147.0
508.0 -468.932355824 -123.0 123.0 120.0
509.0 -272.934002264 -78.0 78.0 8.0
510.0 31.3952597647 4.0 -4.0 -125.0
511.0 323.767445286 89.0 -89.0 -177.0
512.0 487.543724136 132.0 -132.0 -145.0
513.0 456.474084507 120.0 -120.0 -126.0
514.0 241.977274588 73.0 -73.0 30.0
515.0 -70.4506159688 -20.0 20.0 95.0
516.0 -354.883739929 -89.0 89.0 141.0
517.0 -495.612385537 -127.0 127.0 121.0
518.0 -434.47132441 -111.0 111.0 53.0
519.0 -195.397695449 -49.0 49.0 -38.0
520.0 124.344943582 32.0 -32.0 -128.0
521.0 393.338244774 104.0 -104.0 -130.0
522.0 499.974734026 125.0 -125.0 -131.0
523.0 399.08655692 106.0 -106.0 -63.0
524.0 131.633474309 38.0 -38.0 52.0
525.0 -191.341716183 -48.0 48.0 97.0
526.0 -434.47132441 -106.0 106.0 120.0
527.0 -494.833203953 -122.0 122.0 96.0
528.0 -345.92039147 -88.0 88.0 30.0
529.0 -49.8682744603 -15.0 15.0 -79.0
530.0 267.913397489 69.0 -69.0 -126.0
531.0 471.599733214 119.0 -119.0 -147.0
532.0 473.14434769 124.0 -124.0 -111.0
533.0 270.824763172 76.0 -76.0 10.0
534.0 -48.9304079348 -11.0 11.0 98.0
535.0 -347.956398296 -89.0 89.0 139.0
536.0 -495.898285753 -126.0 126.0 121.0
537.0 -427.30193696 -109.0 109.0 81.0
538.0 -171.141270835 -50.0 50.0 -38.0
539.0 160.769312916 39.0 -39.0 -125.0
540.0 422.163962751 109.0 -109.0 -177.0
541.0 496.770102318 134.0 -134.0 -128.0
542.0 350.429734158 95.0 -95.0 -34.0
543.0 47.366912366 16.0 -16.0 53.0
544.0 -277.393172371 -66.0 66.0 122.0
545.0 -477.896507399 -119.0 119.0 119.0
546.0 -463.014386579 -116.0 116.0 96.0
547.0 -238.395300179 -66.0 66.0 -17.0
548.0 94.9247386571 22.0 -22.0 -129.0
549.0 385.45679798 102.0 -102.0 -125.0
550.0 500.0 125.0 -125.0 -130.0
551.0 385.056292702 103.0 -103.0 -38.0
552.0 92.4559841275 26.0 -26.0 52.0
553.0 -243.3506713 -59.0 59.0 98.0
554.0 -466.715115892 -112.0 112.0 121.0
555.0 -473.042679414 -118.0 118.0 96.0
556.0 -258.296553164 -70.0 70.0 -16.0
557.0 77.9069256576 18.0 -18.0 -111.0
558.0 377.949588429 97.0 -97.0 -125.0
559.0 499.964371151 124.0 -124.0 -129.0
560.0 385.256621388 102.0 -102.0 -63.0
561.0 87.2022022259 30.0 -30.0 30.0
562.0 -252.89644257 -56.0 56.0 96.0
563.0 -472.428749419 -113.0 113.0 97.0
564.0 -465.34937317 -112.0 112.0 77.0
565.0 -233.96490713 -62.0 62.0 -16.0
566.0 110.910401024 25.0 -25.0 -129.0
567.0 402.467611924 106.0 -106.0 -128.0
568.0 498.483217125 125.0 -125.0 -125.0
569.0 351.10138004 95.0 -95.0 -39.0
570.0 31.3952597647 14.0 -14.0 53.0
571.0 -304.214528271 -71.0 71.0 121.0
572.0 -490.176941567 -122.0 122.0 119.0
573.0 -433.691774462 -110.0 110.0 95.0
574.0 -161.661455668 -51.0 51.0 -16.0
575.0 191.341716183 41.0 -41.0 -130.0
576.0 449.151910206 115.0 -115.0 -130.0
577.0 481.945593757 122.0 -122.0 -125.0
578.0 272.143842869 79.0 -79.0 -16.0
